Cutthroat1	巴图克的猛击 Bartuc's Cut-Throat
11520	ÿc5+24% 〈黎明浩劫〉法术伤害 - 每〈时空力场〉基础等级\n+12% 〈黎明浩劫〉法术伤害 - 每〈进攻性奥术技能〉基础等级\nÿc8当装备〈催化〉与〈判决〉时:
11521	ÿc5〈蜂巢〉增加 0.75% 体力至精力 - 每基础等级于〈奥术〉技能树 (最大 40%)\nÿc8当装备〈催化〉与〈判决〉时:
11522	〈蜂巢〉持续时间减少至 30 秒
11523	+15% 〈怨恨〉系技能伤害
11524	28% 的力量加为闪电伤害至武器
11525	法力狂扫: -25% 总伤害, 不偷取法力
11526	狂怒: +4 秒基础持续时间
11527	15% 的敏捷加为增强武器伤害 (EWD)\n-1% 敌人毒素抗性 - 每 1% 格挡几率
11528	+15 斧头数至〈杀破头〉
11529	+50% 额外魔法伤害至〈回弹〉
11530	装备时拥有〈苹果〉治疗效果
11531	ÿc5+1 所有技能\n+20% 元素法术伤害\n+25 法术专注\nÿc0(每有一件〈隐藏〉锻造物加成)\nÿc8隐藏圣物 Hidden Reliquary
11532	33% 的敏捷加为闪电伤害至武器
11533	+1 额外的〈复活〉数(Resurrect)
11534	分裂箭 'Split Arrow': +8 投射物
11535	+2 〈沙暴〉投射物
11536	〈冰冷之锥〉尺寸提高 50%
11537	+1 〈 病畜 〉投射物
11538	+4% 〈愉悦〉穿透
11539	+1 额外的〈火焰之心图腾〉
11540	+1 额外的〈冰霜之爪图腾〉
11541	+1 额外的〈暴风之眼图腾〉
11542	烈焰前线: +1 最大投射物
11543	+1 额外的〈守卫者英灵〉
11544	
11545	+1 额外的〈重装步兵〉
11546	+1 额外的〈冰元素〉
11547	+1 〈 寒冰长枪 〉投射物
11548	+5 〈 石雹 〉投射物
11549	+1 额外的〈雷熊〉
11550	
11551	+1 〈 剃刀脊刺 〉投射物
11552	〈月之光线〉持续时间提高 3 秒
11553	〈噩梦〉减少物理抗性 6%
11554	〈 爆裂波 〉冷却时间减半
11555	+8 斧头数至〈杀破头〉
11556	+1 〈 痛苦灵魂 〉投射物
11557	〈寄生〉获得 5 额外目标
11558	+150 基础精力至〈 通灵环 〉
11559	切碎: +50% 持续时间
11560	〈希望闪耀〉持续时间提高 15 秒
11561	+10 〈回弹〉投射物
11562	剜心剔骨: +1 投射物
11563	+2 〈撼石击〉投射物
11564	+1 额外〈仆人〉数量
11565	〈号鹰〉持续时间提高 3 秒
11566	+1 〈 银镖 〉投射物
11567	20% 闪电穿透至〈杀手〉(Slayers)
11568	日耀: +30% 持续时间
11569	〈孢子击〉魔法伤害提高 100%
11570	+1 〈 嚎风 〉投射物
11571	+2 〈暴风乌鸦〉投射物
11572	+2 额外〈收割者〉数量
11573	+25% 火焰穿透至〈火元素〉
11574	鲜血骷髅: +5 〈狰狞面容〉光环
11575	+3 额外的〈夜鹰〉
11576	魔灵: +4 〈地狱火光环〉
11577	+1 额外的〈拉弥亚〉
11578	+1 额外的〈暴徒〉
11579	+15% 元素法术伤害至〈魔血光环〉
11580	帷幕之王: +8% 致命攻击(DS)
11581	〈 传送 〉冷却时间减少 0.5 秒 (最小: 2秒)
11582	+3 最大〈雷暴〉投射物
11583	+1 额外的〈剧毒之云图腾〉
11584	于鸮人形态 +30% 增强武器伤害 (EWD)
11585	当在亡魂(Revenant)附近时 +25% 魔法物品获取率
11586	〈猎人标记〉: 提高每一击伤害
11587	+3 〈翼龙击〉目标
11588	庇护之地斗士 Champion of Sanctuary
11589	致命切口: +1 额外刀刃数
11590	+2 〈魔法飞弹〉投射物
11591	+10% 〈 闪电之怒 〉伤害
11592	若有一点加至〈召唤魔仆〉，〈闪烁〉恢复耐力
11593	+2 〈血星〉投射物
11594	+30% 额外伤害至〈末日〉
11595	施放〈 吉坦之门 〉后 +75% 速度 (Velocity)
11596	压制: +1 最大〈狂怒〉集气
11597	+8% 总〈念力风暴〉伤害
11598	+1 投射物至〈天谴弹〉(Punisher)
11599	
ModitemEleInnateSeq	ÿc0固有火焰伤害: ÿc1%dÿc0 (%.1f%% 的%s)
x	ÿc0固有闪电伤害: ÿc9%d ÿc0(%.1f%% 的%s)
x	ÿc0固有冰冷伤害: ÿc3%d ÿc0(%.1f%% 的%s)
x	ÿc0固有毒素伤害: ÿc2%d ÿc0(%.1f%% 的%s)
x	ÿc0固有魔法伤害: ÿc8%d ÿc0(%.1f%% 的%s)
x	ÿc0固有三元素伤害: ÿc8%d ÿc0(%.1f%% 的%s)
x	%d %.1f %s
x	%d %.1f %s
x	%d %.1f %s
x	%d %.1f %s
11610	
11611	等级 14 灵鹤姿态
11612	等级 1 灵鹤姿态
11613	等级 3 灵鹤姿态
11614	等级 7 灵鹤姿态
11615	等级 1 狼姿态
11616	等级 6 狮子姿态
11617	等级 12 狮子姿态
11618	等级 1 熊姿态
11619	等级 6 鹰姿态
11620	等级 1 鹰姿态
11621	+1% 攻击速度 - 每 25 敏捷
11622	+5% 固有元素伤害 - 每高于 137 的人物等级
11623	+10% 固有元素伤害 - 每高于 137 的人物等级
11624	于赫拉迪姆方块中重塑以升级\n在虚无边界的战斗中生存 11 分钟\n必须拥有至少 3000 点敏捷\n〈猎人〉专属升级:\n
11625	深渊也在凝视你 And the Abyss Stares Back
11626	等级 12 狼姿态
11627	完美彩虹石
11628	Sol, Tal, Ort 符文
11629	2 奥术水晶
11630	稀有珠宝
11631	怀特的腿 Wirt's Leg
11632	毁灭纹章(秘密) Emblem of Destruction (Secret)
11633	苦难纹章(秘密) Emblem of Suffering (Secret)
11634	恐惧纹章(秘密) Emblem of Terror (Secret)
11635	憎恨纹章(秘密) Emblem of Hatred (Secret)
11636	苦痛纹章(秘密) Emblem of Pain (Secret)
11637	谎言纹章(秘密) Emblem of Lies (Secret)
11638	ÿc0与各成分于方块中重塑以设计\n
11639	ÿc0与锻造油于方块中重塑以创造\n
StrStashPageLocal	储藏页: 
StrStashPageShared	共享储藏页: 
StrStashToggleShared	切换至共享储物箱
StrStashToggleLocal	切换至本地储物箱
StrStashNextPage	后一页
StrStashPrevPage	前一页
11646	10% 魔法物品获取率 (MF) - 每镶有一颗〈彩虹石〉\n+1 所有技能 - 每镶有 2 颗〈彩虹石〉
11647	〈闪电场〉伤害提高 1000%
11648	〈 女鬼 〉(Churel) 增益持续时间提高 66%
11649	等级 5 〈地狱火光环〉
11650	〈 黑暗之力 〉增加 1% 固有元素伤害 - 每技能等级
11651	〈火焰舞步〉不增加法术伤害
11652	〈蜂巢〉增加 1% 毒素法术伤害 - 每技能等级
11653	20% 魔法物品获取率 (MF) - 每镶有一颗〈彩虹石〉\n+1 所有技能 - 每镶有 2 颗〈彩虹石〉
11654	40% 更少的来自药水的治疗
11655	(仅限武器)
11656	(仅限护甲)
11657	(仅限戒指、护符或箭袋)
11658	(任意可装备物品)
11659	200% 加成至〈瘴气〉鬼缠持续时间
11660	〈瘴气〉鬼缠持续时间提高 2 秒
11661	+50% 加成至〈瘴气〉鬼缠持续时间
11662	+150% 加成至〈瘴气〉鬼缠持续时间
11663	+200% 增强伤害至〈唤月〉
11664	变形德鲁伊 Druid Morph
11665	30% 增强伤害 对 死灵机器人
11666	提高来自苹果的治疗速率 50%
11667	提高来自苹果的治疗速率 100%
11668	+1 所有技能 - 当使用苹果时
11669	+2 所有技能 - 当使用苹果时
11670	+3 所有技能 - 当使用苹果时
11671	+15% 伤害至〈保护者英灵〉嗜血\n
11672	+30% 伤害至〈保护者英灵〉嗜血\n
11673	+50% 伤害至〈保护者英灵〉嗜血\n
11674	灼热辉光: Dazzle 减少敌人准确率 5%
11675	10% 的总精力获得为生命
StrSkillTabsAma	神圣
x	弓
x	标枪
x	矛
x	风暴
x	鲜血
x	精通
x	奖励
x	
x	
StrSkillTabsAss	忍者
x	投掷
x	爪
x	薙刀
x	陷阱
x	念力
x	精通
x	奖励
x	
x	
StrSkillTabsBar	游牧民
x	撼地者
x	刻风者
x	元素使
x	好战者
x	萨满
x	精通
x	奖励
x	
x	
StrSkillTabsDru	自然
x	熊人
x	狼人
x	鸮人
x	猎人
x	预言
x	精通
x	奖励
x	
x	
StrSkillTabsNec	亡语者
x	召唤
x	近战
x	弩
x	怨恨
x	图腾
x	精通
x	奖励
x	
x	
StrSkillTabsPal	多面
x	圣殿骑士
x	受肉
x	奈非天
x	祭师
x	术士
x	精通
x	奖励
x	
x	
StrSkillTabsSor	奥术
x	火焰
x	闪电
x	冰冷
x	毒素
x	近战
x	精通
x	巫师会
x	奖励
x	
11746	你的冰冷伤害无效化(Nullified)
11747	当与〈夹竹桃〉(Acokanthera)同时装备: +1 秒持续时间至〈吞噬之云〉
11748	-1% 敌人元素抗性 - 每 150 敏捷
11749	〈残杀〉现在转换 100% 物理伤害为火焰
11750	〈残杀〉转换减少 1% - 每基础等级\n你的火焰伤害无效化(Nullified)
RightClickToUnsummon	右键点击以取消召唤
11752	UNUSED
11753	+5-10 伤害 - 高于 138 的每一级角色等级
11754	神圣冲击拥有 1200 基础伤害，每 7 精力提高 1%\n等级 1 神圣冲击 (Holy Shock)
11755	〈符文大师〉有 15 基础等级: 10% 致命攻击(DS)\n〈符文大师〉至少有 1 基础等级: 最大元素抗性 +2%
11756	(取更高值)\n+1% 增强武器伤害 - 每 50 力量或敏捷
11757	灵魂嗥叫: +4 秒持续时间 
11758	+100% 加成火焰伤害至〈报复〉
strConfigDungeonTimer	在时限地城中显示倒计时
11760	等级 1 〈希望闪耀〉
11761	-3% 增强武器伤害 - 每 1% 失去的法力\n+200% 增强武器伤害
11762	+1 〈狩猎恶灵〉飞弹
11763	〈通灵环〉(Psicrown)现在在冲击时爆炸
11764	〈夜游魂〉爆炸范围提高 75%
11765	低于 50% 生命: +100 杀敌获取生命\n高于 70% 生命: -200 杀敌获取生命
11766	(请选择一项)\n终极技能 Ultimate Skill
11767	〈火舌环〉(Ring Of Flames) 获得 +1% 总伤害 - 每一级角色等级
11768	〈灵焰〉给予 +1% 火焰法术伤害 - 每 8 角色等级
11769	秘径: +10 生命 - 每一级〈死亡波动〉技能等级\n+1 投射物至〈死亡波动〉
11770	(锁定其他〈专精〉)\nÿc8神圣专精 Holy Devotion
11771	(锁定其他〈专精〉)\nÿc;不洁专精 Unholy Devotion
11772	(锁定其他〈专精〉)\nÿc0中立专精 Neutral Devotion
11773	+1% 固有元素伤害 - 每 250 点力量与敏捷
11774	+1% 最大冰冷抗性 - 每 80% 冰冷抗性
11775	+25 火焰伤害 - 每 100 敏捷
11776	敌人火焰抗性被闪电穿透以 25% 的效能降低
11777	+10% 最大法力 - 若〈日耀〉生效\n+40 法术专注 - 若〈血契〉生效
11778	在〈狼人〉形态时: -10% 敌人冰冷抗性\n在〈鸮人〉形态时: 增加 10-15 伤害
11779	〈深渊骑士〉: 杀敌时施放〈混沌新星〉几率加倍
11780	+1% 最大元素抗性 - 每 200% 闪电法术伤害
11781	当低于 80% 生命时，12% 几率施放等级 42 〈烈焰前线〉
11782	〈龙焰燃油〉协同加成提高 100%
11783	若你拥有 90% 火焰抗性: +50% 火焰法术伤害
11784	泽瑞伊之锤现在转换 100% 的物理伤害为闪电
11785	每秒治疗 0.05% 生命 - 每 1% 失去的法力
11786	高于等级 100: +6-12 闪电伤害 - 每一级角色等级\n最高至等级 100: +2-4 闪电伤害 - 每一级角色等级
11787	若〈竞技场〉拥有 20 基础等级: +5% 躲避(Avoid)
11788	当低于 50% 生命时，致死一击 7% 几率施放等级 5 生命闪耀 ( Lifespark )
11789	〈深渊骑士〉减少敌人魔法抗性 10%
11790	ÿc0(你不可双持)\nÿc8需要近战元素型武器
11791	ÿc5〈挽歌〉释放几率提高 10%\nÿc8当〈灵魂锁链〉生效:
11792	ÿc5〈暴风之眼图腾〉拥有致死一击时 6% 几率施放等级 44 〈风暴冲突〉\nÿc5〈火焰之心图腾〉拥有致死一击时 6% 几率施放等级 44 〈 浩劫 〉\nÿc5〈冰霜之爪图腾〉拥有致死一击时 6% 几率施放等级 44 〈 暴风雪 〉\nÿc8当〈灵魂锁链〉生效时:
11793	〈撼地者〉系技能的冷却时间减少 20%
11794	+3 所有属性\nÿc4武器, 护甲:\n
11795	+3 最大伤害\nÿc4护甲:\n\nÿc0+5 最大伤害\nÿc4武器:\n
11796	+3% 火焰法术伤害\nÿc4武器, 护甲:\n
11797	+3% 闪电法术伤害\nÿc4武器, 护甲:\n
11798	+3% 冰冷法术伤害\nÿc4武器, 护甲:\n
11799	+3% 毒素法术伤害\nÿc4武器, 护甲:\n
11800	+3% 物理/魔法法术伤害\nÿc4武器, 护甲:\n
11801	火焰抗性 +25%\nÿc4护甲:\n\nÿc0火焰抗性 +30%\nÿc4武器:\n
11802	闪电抗性 +25%\nÿc4护甲:\n\nÿc0闪电抗性 +30%\nÿc4武器:\n
11803	冰冷抗性 +25%\nÿc4护甲:\n\nÿc0冰冷抗性 +30%\nÿc4武器:\n
11804	毒素抗性 +25%\nÿc4护甲:\n\nÿc0毒素抗性 +30%\nÿc4武器:\n
11805	+40 法力\nÿc4护甲:\n\nÿc0+60 法力\nÿc4武器:\n
11806	+10% 加成至毒素技能持续时间\nÿc4护甲:\n\nÿc0+15% 加成至毒素技能持续时间\nÿc4武器:\n
11807	+10% 召唤仆从生命\nÿc4武器, 护甲:\n
11808	+5% 召唤仆从伤害\nÿc4武器, 护甲:\n
11809	+50% 召唤仆从准确率\nÿc4武器, 护甲:\n
11810	+5% 召唤仆从抗性\nÿc4武器, 护甲:\n
11811	5% 力量\nÿc4武器, 护甲:\n
11812	5% 敏捷\nÿc4武器, 护甲:\n
11813	4% 体力\nÿc4武器, 护甲:\n
11814	5% 精力\nÿc4武器, 护甲:\n
11815	元素抗性 +10%\nÿc4武器, 护甲:\n
11816	+3% 所有属性\nÿc4武器, 护甲:\n
11817	+7% 魔法物品获取率\nÿc4护甲:\n\nÿc0+10% 魔法物品获取率\nÿc4武器:\n
11818	+15% 攻击速度\nÿc4武器, 护甲:\n
11819	+15% 施法速度\nÿc4武器, 护甲:\n
11820	+15% 打击恢复\nÿc4武器, 护甲:\n
11821	+15% 格挡速度\nÿc4武器, 护甲:\n
11822	恢复法力 +5%\nÿc4护甲:\n\nÿc0恢复法力 +15%\nÿc4武器:\n
11823	减慢攻击者 +2%\nÿc4护甲:\n\nÿc0减慢目标 +3%\nÿc4武器:\n
11824	+15% 增强防御\nÿc4护甲:\n\nÿc0+15% 增强伤害\nÿc4武器:\n
11825	最大法力 +2%\nÿc4护甲:\n\nÿc0最大法力 +3%\nÿc4武器:\n
11826	无法破坏\nÿc4武器, 护甲:\n
11827	+x 力量\nx% 力量\nx% 压碎性打击(CB)几率\n
11828	+x 敏捷\nx% 敏捷\nx% 加成至准确率\n
11829	+x 体力\nx% 体力\n+x 每秒生命恢复\n
11830	+x 精力\nx% 精力\n+x 法术专注\n
11831	增加 x-y 伤害\n+x% 增强伤害\n
11832	ÿc5(护甲)\nÿc0物理抗性 +x%\n+x% 增强防御\n\nÿc5(武器)\nÿc0x% 致命攻击(DS)\n需求 +x%\n+x% 增强伤害\n
11833	+x% 召唤仆从伤害\n+x% 召唤仆从准确率\n
11834	+x% 火焰法术伤害\n-x% 敌人火焰抗性\n
11835	+x% 闪电法术伤害\n-x% 敌人闪电抗性\n
11836	+x% 冰冷法术伤害\n-x% 敌人冰冷抗性\n
11837	+x% 毒素法术伤害\n-x% 敌人毒素抗性\n
11838	+x% 施法速度\n最大法力 +x%\n法力恢复 +x%\n
11839	+x% 召唤仆从生命\n+x% 召唤仆从抗性\n
11840	魔法抗性 +x%\n+x% 物理/魔法法术伤害\n
11841	1% 复生为: 随机怪物\n1% 复生为: 随机怪物\n
11842	+x 所有属性\n+x% 固有元素伤害\n
strMercLabelStrength	力量
strMercLabelDexterity	敏捷
strMercLabelEnergy	精力
strMercLabelLife	生命
strMercLabelDefense	防御
strMercLabelAttack	准确率
strMercLabelResistFire	\n火焰抗性
strMercLabelResistCold	\n冰冷抗性
strMercLabelResistLtng	\n闪电抗性
strMercLabelResistPois	\n毒素抗性
strMercLabelMf	魔法物品获取率 (MF)
strMercLabelGf	金币获取量 (GF)
strMercLabelFireSpd	\n火焰法术伤害
strMercLabelColdSpd	\n冰冷法术伤害
strMercLabelLtngSpd	\n闪电法术伤害
strMercLabelPoisSpd	\n毒素法术伤害
11859	你可最多选择 2 项被动
11860	你可最多选择 3 项精通
11861	解锁精通技能: 坚韧 (Tenacity)
11862	解锁精通技能: 化学 (Chemistry)
11863	解锁精通技能: 特化 (Specialization)
11864	解锁精通技能: 忍耐力 (Endurance)
11865	解锁精通技能: 持续性 (Continuity)
11866	解锁精通技能: PLACEHOLDER
11867	解锁精通技能: PLACEHOLDER
11868	解锁精通技能: PLACEHOLDER
11869	解锁精通技能: PLACEHOLDER
11870	解锁精通技能: PLACEHOLDER
11871	解锁精通技能: PLACEHOLDER
11872	解锁精通技能: PLACEHOLDER
11873	所有技能需要熊人形态
11874	所有技能需要狼人形态
11875	所有技能需要鸮人形态
11876	〈灵魂直列〉不再增加火焰/冰冷法术伤害\n〈灵魂直列〉增加 5% 闪电法术伤害 - 每基础等级
strPartyScreenKillCount	击杀怪物数
strPartyScreenTimePlayed	游玩时长
11879	压制: +1 最大〈狂怒〉集气
strPartyScreenFriends	好友
strPartyScreenAddFriend	添加好友
11882	辩护: +200% 持续时间
11883	飓风之力: +1.3 码溅射范围(AoE)
11884	获得 50% 你的最大法力为防御
11885	- 且不受到时空风暴(Rift Storm)的伤害\n- 且至少有一只〈冻结蹒跚者〉存活\nÿc2击败高次时空行者\nÿc0(只在完成时在方块中重塑神符)\nÿc7额外任务2 Bonus Quest II\n
11886	- 且不受到时空风暴(Rift Storm)的伤害\nÿc2击败上级时空行者\nÿc0(只在完成时在方块中重塑神符)\nÿc7额外任务1 Bonus Quest I\n
11887	获得 20% 你的毒素抗性为毒素持续时间减少
11888	泽瑞伊之锤: 双倍闪电伤害加成
11889	UNUSED
11890	(锁定其他〈专精〉)\nÿc0弓专精 Bow Devotion
11891	(锁定其他〈专精〉)\nÿc0标枪专精 Javelin Devotion
11892	(锁定其他〈专精〉)\nÿc0矛专精 Spear Devotion
11893	(锁定其他〈专精〉)\nÿc0风暴专精 Storm Devotion
11894	(锁定其他〈专精〉)\nÿc0鲜血专精 Blood Devotion
11895	5 火焰符文
11896	5 磐石符文
11897	5 奥术符文
11898	5 光明符文
11899	5 寒冰符文
11900	5 毒素符文
11901	金币花费: 250,000\n与 5 个符文石于方块重塑以创造
11902	+100 闪电伤害 - 高于 130 的每一级角色等级
11903	+6 生命 - 每点〈认知〉
11904	+4-5 伤害 - 每一级〈泽瑞伊之锤〉基础等级
11905	在〈过载时〉你获得所有〈标志性技能〉的次级效果(Secondary Effects)
11906	盾牌: 火焰抗性 +30%\n护甲: 4% 体力\n武器: +10 杀敌获取生命\n
11907	盾牌: 毒素抗性 +30%\n护甲: +2 每秒恢复生命\n武器: +5 最大伤害\n
11908	盾牌: 冰冷抗性 +30%\n护甲: 冰冷抗性 +20%\n武器: +8 杀敌获取法力\n
11909	盾牌: 闪电抗性 +30%\n护甲: 5% 精力\n武器: +10 法术专注\n
11910	盾牌: 元素抗性 +5%\n护甲: 5% 力量\n武器: +3% 法术伤害\n
11911	盾牌: +5 法力 - 被敌人打击时\n护甲: 5% 敏捷\n武器: 50% 准确率加成\n
11912	盾牌: 毒素持续时间减少 5%\n护甲: +10% 增强防御\n武器: +10% 增强伤害\n
11913	盾牌: 10% 诅咒持续时间减少\n护甲: 8% 金币获取率\n武器: 3% 固有元素伤害\n
11914	盾牌: +5% 召唤仆从抗性\n护甲: 火焰抗性 +20%, 最大火焰抗性 +1%\n武器: +10% 召唤仆从生命\n
11915	盾牌: 减慢目标 2%\n护甲: 冰冷抗性 +20%, 最大冰冷抗性 +1%\n武器: +5% 召唤仆从伤害\n
11916	盾牌: 减慢攻击者 2%\n护甲: 闪电抗性 +20%, 最大闪电抗性 +1%\n武器: 2% 复生为: Walker\n
11917	盾牌: 8% 魔法物品获取率\n护甲: 毒素抗性 +20%, 最大毒素抗性 +1%\n武器: 恢复法力 +10%\n
11918	+1% 格挡率 - 每 300 法力\n+1 准确率 - 每 3 法力
11919	
11920	
11921	
11922	
11923	
11924	
11925	
11926	和谐之理 Tenet of Harmony
11927	克制之理 Tenet of Restraint
11928	活力之理 Tenet of Vigor
11929	智慧之理 Tenet of Wisdom
11930	审判之理 Tenet of Judgement
11931	抵触之理 Tenet of Conflict
11932	3 颗奥术水晶
11933	2 颗腐化水晶
11934	学习印章G  Greater Signet of Learning
11935	3 个独特戒指
11936	3 个独特护符
11937	3 个神圣独特身体护甲
11938	3 个神圣独特腰带
11939	3 个神圣独特手套
11940	3 个神圣独特鞋子
11941	4 个大型回环 (Large Cycles)
11942	4 个奖杯碎片
11943	5 个强化符文
11944	遗物 (Relic)
11945	25 个圣坛
11946	3 个独特神秘之球
11947	天气控制 (Weather Control)
11948	长眠 (The Sleep)
11949	卡兰之书 (Books of Kalan)
11950	鬼魂出窍 (Ghost Trance)
11951	卡扎克斯的幻象 (Xazax's Illusion)
11952	中立条约 (Neutrality Pact)
11953	(更高级符文所需金钱更多，且获得更好物品几率更高)\n恢复花费金币: 20,000 - 500,000\n与奥术水晶以及〈强化符文〉于方块中重塑以恢复
11954	在方块中重塑以打开
11955	与 强化符文 于方块中重塑以解锁
11956	ÿc0金币花费: 666,666\n与锻造油于方块中重塑以创造\n
11957	ÿc0金币花费: 1,000,000\n与锻造油于方块中重塑以创造\n
11958	ÿc0金币花费: 1,000,000\n与锻造油于方块中重塑以创造\n
11959	ÿc0金币花费: 2,500,000\n与锻造油于方块中重塑以创造\n
11960	
11961	
11962	
11963	
11964	
11965	
11966	
11967	
11968	
11969	
11970	
11971	
11972	
11973	
11974	
11975	
11976	
11977	
11978	
11979	
11980	
11981	
11982	
11983	
11984	
11985	
11986	
11987	
11988	金币花费: 5000\nÿc8+(1 ~ 3)% 魔法物品获取率(MF)\n
11989	金币花费: 5000\nÿc8需求 -(2 ~ 4)%\n
11990	金币花费: 5000\nÿc8+(4 ~ 6)% 召唤仆从生命\n
11991	金币花费: 10000\nÿc8元素抗性 +(3 ~ 5)%\n
11992	金币花费: 10000\nÿc8+(1 ~ 2) 杀敌获取法力\n+(2 ~ 4) 杀敌获取生命\n
11993	金币花费: 10000\nÿc8+(2 ~ 4)% 召唤仆从抗性\n
11994	金币花费: 15000\nÿc8+(3 ~ 5) 所有属性\n
11995	金币花费: 15000\nÿc8+(1 ~ 4) 法力 - 近战攻击时\n+(2 ~ 8) 生命 - 近战攻击时\n
11996	金币花费: 15000\nÿc8+(1 ~ 3)% 召唤仆从伤害\n
11997	金币花费: 25000\nÿc8+(1 ~ 2)% 法术伤害\n
11998	金币花费: 25000\nÿc8+(1 ~ 2)% 每次击中偷取法力\n+(1 ~ 2)% 每次击中偷取生命\n
11999	金币花费: 25000\nÿc8+(2 ~ 4) 最大伤害\n
12000	金币花费: 50000\nÿc8+(4 ~ 8) 法术专注\n
12001	金币花费: 50000\nÿc8+1% 获得的经验\n
12002	金币花费: 50000\nÿc8 无法破坏\n
12003	jewelcraft placeholder
12004	jewelcraft placeholder
12005	jewelcraft placeholder
12006	jewelcraft placeholder
12007	jewelcraft placeholder
12008	致死一击 5% 几率施放等级 50 杀手 (Slayer)
12009	允许一次额外的[熊伙伴](Bear Companion)
12010	+4 〈暴风乌鸦〉投射物
12011	+25 防御 - 每 1% 火焰法术伤害
12012	30% 加为武器物理伤害 (最大 +150%)
12013	36% 加为武器物理伤害 (最大 +150%)
12014	6% 加为固有元素伤害 (最大 +25%)
12015	8% 加为固有元素伤害 (最大 +25%)
12016	15% 加为火焰与闪电法术伤害 (最大 +40%)
12017	18% 加为火焰与闪电法术伤害 (最大 +40%)
12018	15% 加为冰冷与毒素法术伤害 (最大 +40%)
12019	18% 加为冰冷与毒素法术伤害 (最大 +40%)
12020	15% 加为物理与魔法法术伤害 (最大 +40%)
12021	18% 加为物理与魔法法术伤害 (最大 +40%)
12022	5% 加为魔法物品获取率(MF) (最大 +100%)
12023	6% 加为魔法物品获取率(MF) (最大 +100%)
12024	ÿc3基于你对亡灵与恶魔的伤害加成总值给予属性\nÿc0装备复数个〈钟〉会移除所有加成
12025	近战法术施法者(Spellcaster)技能树
12026	〈英勇仆人〉杀敌时有 4% 几率施放等级 51 黑暗之力 ( Dark Power )
12027	允许一次额外的〈杀手〉(Slayer)
12028	增加 1% 压碎性打击(CB) - 每 4% 火焰法术伤害
12029	〈深渊骑士〉在召唤后死亡
12030	死亡标记(Marked for Death)持续时间提高 0.2 秒
strMercLabelResistPhys	\n物理抗性
CfgDisplayGamePing	使用自动地图时显示游戏的ping值
StrAutomapPing	Ping值: 
12034	+1 目标至〈急袭〉
12035	-100% 敌人闪电抗性 (需要 100% 压碎性打击(CB) )
12036	〈反物质〉恢复耐力
12037	奥术激流: +20% 额外投射物
12038	群箭齐射: +2 投射物
12039	仪式烽火: 自我牺牲时 30% 移动速度
12040	祸根: +100% 持续时间
12041	死亡波动: +1 投射物
12042	铅弹: +7 投射物
12043	黑暗之力: 双倍魔法伤害
12044	ÿc5(〈保卫者英灵〉 - 〈守卫者英灵〉 - 〈保护者英灵〉)\n持有全部萨满系遗物时〈灵魂行走〉治疗额外 5% 最大生命
12045	+1 额外〈保卫者英灵〉数量
12046	+1 额外〈保护者英灵〉数量
12047	点燃: 50% 总火焰伤害
12048	ÿc5(〈灰烬之灵〉 - 〈狩猎恶灵〉)\n持有先知系灵魂遗物时 +1 〈狩猎恶灵〉/〈灰烬之灵〉投射物
12049	ÿc5(〈火焰之心图腾〉 - 〈冰霜之爪图腾〉 - 〈暴风之眼图腾〉)\n持有图腾遗物时 5% 火焰/冰冷/闪电吸收
12050	+2 最大〈分叉闪电〉投射物
12051	当〈堡垒〉生效时 +2% 〈符文大师〉防御加成
12052	暴风: 于 20 内恢复 100% 生命 
12053	霜冰新星: 双倍冰冻持续时间
12054	血祭: 每等级 66 魔法伤害
12055	伟大之猎: +1 灵数量
12056	泽瑞伊之锤: 物理伤害加成提高 25%
12057	洗礼: 7% 几率触发额外投射物
12058	熔岩坑: 爆炸半径提高 1.3 码
12059	裁决化身: +1 目标
12060	惩戒化身: +1 目标
12061	旋涡一号箭弹: +10% 魔法伤害加成\n
12062	法力狂扫: +10% 总伤害
12063	毁灭交响曲: 〈杀手〉溅射 +1 光线数
12064	冷血: 同样穿透闪电抗性
12065	迷锁: 双倍减益持续时间
12066	ÿc5(〈蜂巢〉 - 〈新星充能〉 - 〈烈焰路径〉)\n持有周期性遗物时 +10 〈冰冻之心〉(Frozen Heart)
12067	吸附激光: +1 投射物
12068	暗影庇护: 每 1 级〈暗影冲刺〉基础等级 50 每秒恢复生命
12069	疫病: +10 秒持续时间
12070	火葬: 双倍物理抗性
12071	暴风之眼: 不再减少伤害
12072	+1 额外〈深渊骑士〉数量
12073	暴风爆: 5% 几率触发额外投射物
12074	旋涡一号箭弹: 〈弃守猛攻〉的弱点持续时 20% 几率触发额外投射物
12075	每 5 点〈认知〉+1% 物理/魔法法术伤害
12076	ÿc4+666 生命\n+100% 召唤仆从准确率\n+100% 召唤仆从伤害\n每次施法召唤一个额外的仆从\nÿc8召唤神之力 Exodia\n\nÿc5(〈召唤冰霜行者〉 - 〈召唤发光菌菇〉 - 〈召唤罪人〉)\n持有全部的召唤三件套遗物时获得ÿc8召唤神之力 (Exodia)ÿc5
12077	石头澡: -4% 敌人物理抗性
12078	旋涡一号箭弹: +10% 魔法伤害加成
12079	ÿc3残杀冷却时间减少 1.72 秒\nÿc8残杀: +1250 火焰伤害
12080	刀锋女王: +3 投射物
12081	〈魔仆〉被杀死/取消召唤时施放〈处刑〉(Crucify)
